週,ブロック,フェーズ,曜日,セッション,順番,種目,メイン,セット,レップ,重量,kg,%1RM,RPE,休憩,対象,メモ,BJJメモ
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,4,15,122.5,122.5,,8,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。,
1,肥大蓄積,MAV超,水,OHP＋肩,1,オーバーヘッドプレス,○,3,8,55,55,67.5,7.5,3.5分,肩,推定1RM基準。RPEが9なら翌週据え置き。,
1,肥大蓄積,MAV超,水,OHP＋肩,2,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。,
1,肥大蓄積,MAV超,水,OHP＋肩,3,プレートフロントレイズ,,3,12,7.5,7.5,,8,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。OHPの前部三角をIsolatedで足す。,
1,肥大蓄積,MAV超,水,OHP＋肩,4,プレートリアデルトフライ,,3,15,5,5,,8,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。,姿勢を保つ肩甲骨周り。
1,肥大蓄積,MAV超,水,OHP＋肩,5,プレートオーバーヘッドエクステンション,,3,12,10,10,,8,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
1,肥大蓄積,MAV超,木,スクワット＋後面＋胸,1,バックスクワット,○,3,5,122.5,122.5,70,7.5,3.5分,四頭,維持ボリューム。深さはいつもの試合深度。,
1,肥大蓄積,MAV超,木,スクワット＋後面＋胸,2,ルーマニアンデッドリフト,,3,8,115,115,,8,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。,ヒップヒンジとタックル耐性。
1,肥大蓄積,MAV超,木,スクワット＋後面＋胸,3,スポトプレス,,3,8,80,80,,8,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,1,フロアプレス,,3,10,85,85,,8,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,8,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,4,12,30,30,,8,45秒,二頭,BJJ用密度。休憩45秒。フォームが崩れない範囲で血流を乗せる。下ろし3秒。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,3,12,自重,75,,8,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,4,12,125,125,,8,1分15秒,僧帽,MRV週はセット6。収縮1秒。首を前に出さない。金曜は中重量でパンプ。,
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,1,ベンチプレス,○,4,8,87.5,87.5,70,8,3.5分,胸,トップまで伸ばし切る。手首は縦。,
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,2,クローズグリップベンチ,,4,10,80,80,,8.5,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,3,懸垂（プロネイト）,,3,8,自重,75,,8.5,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,4,プレートサイドレイズ,,4,15,7.5,7.5,,8.5,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。,
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,5,バーベルシュラッグ,,4,12,132.5,132.5,,8.5,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。,襟を持つ姿勢の維持。
2,肥大蓄積,ビルド,月,ベンチ＋胸・肩,6,スカルクラッシャー,,3,12,37.5,37.5,,8.5,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。,エビ・ポストの肘伸ばし持久。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,1,ポーズデッドリフト（膝下1秒）,○,4,5,117.5,117.5,67.5,8,4分,後面,バーは脛に沿わせる。尻が先に上がったら重量を下げる。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,87.5,87.5,,8.5,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重,75,,8.5,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,4,12,47.5,47.5,,8.5,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,4,15,125,125,,8.5,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。,
2,肥大蓄積,ビルド,水,OHP＋肩,1,オーバーヘッドプレス,○,4,8,55,55,70,8,3.5分,肩,顎を引いてバーを顔の近くに通す。,
2,肥大蓄積,ビルド,水,OHP＋肩,2,プレートサイドレイズ,,4,15,7.5,7.5,,8.5,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。,
2,肥大蓄積,ビルド,水,OHP＋肩,3,プレートフロントレイズ,,3,12,7.5,7.5,,8.5,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。OHPの前部三角をIsolatedで足す。,
2,肥大蓄積,ビルド,水,OHP＋肩,4,プレートリアデルトフライ,,3,15,5,5,,8.5,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。,姿勢を保つ肩甲骨周り。
2,肥大蓄積,ビルド,水,OHP＋肩,5,プレートオーバーヘッドエクステンション,,3,12,12.5,12.5,,8.5,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
2,肥大蓄積,ビルド,木,スクワット＋後面＋胸,1,バックスクワット,○,3,5,127.5,127.5,72.5,8,3.5分,四頭,膝とつま先を同じ向きに。,
2,肥大蓄積,ビルド,木,スクワット＋後面＋胸,2,ルーマニアンデッドリフト,,3,8,117.5,117.5,,8.5,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。,ヒップヒンジとタックル耐性。
2,肥大蓄積,ビルド,木,スクワット＋後面＋胸,3,スポトプレス,,4,8,82.5,82.5,,8.5,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,1,フロアプレス,,4,10,87.5,87.5,,8.5,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,8.5,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,3,15,7.5,7.5,,8.5,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,4,12,32.5,32.5,,8.5,45秒,二頭,BJJ用密度。休憩45秒。フォームが崩れない範囲で血流を乗せる。下ろし3秒。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,3,12,自重,75,,8.5,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
2,肥大蓄積,ビルド,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,4,12,127.5,127.5,,8.5,1分15秒,僧帽,MRV週はセット6。収縮1秒。首を前に出さない。金曜は中重量でパンプ。,
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,1,ベンチプレス,○,5,6,95,95,75,8.5,3.5分,胸,MRV週。フォームが崩れたらそのセットで終了。,
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,2,クローズグリップベンチ,,4,10,82.5,82.5,,9,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,3,懸垂（プロネイト）,,4,8,自重,75,,9,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,4,プレートサイドレイズ,,4,15,10,10,,9,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。,
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,5,バーベルシュラッグ,,5,12,135,135,,9,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。,襟を持つ姿勢の維持。
3,肥大蓄積,MRV週,月,ベンチ＋胸・肩,6,スカルクラッシャー,,4,12,40,40,,9,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。,エビ・ポストの肘伸ばし持久。
3,肥大蓄積,MRV週,火,デッド＋背中・僧帽,1,ポーズデッドリフト（膝下1秒）,○,5,5,122.5,122.5,70,8.5,4分,後面,デッドのセットは増やしすぎない。MRVは上半身側。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
3,肥大蓄積,MRV週,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,90,90,,9,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
3,肥大蓄積,MRV週,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,4,8,自重,75,,9,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
3,肥大蓄積,MRV週,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,4,12,50,50,,9,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
3,肥大蓄積,MRV週,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,5,15,127.5,127.5,,9,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。,
3,肥大蓄積,MRV週,水,OHP＋肩,1,オーバーヘッドプレス,○,4,6,60,60,75,8.5,3.5分,肩,ストリクト。脚の反動は使わない。,
3,肥大蓄積,MRV週,水,OHP＋肩,2,プレートサイドレイズ,,4,15,10,10,,9,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。,
3,肥大蓄積,MRV週,水,OHP＋肩,3,プレートフロントレイズ,,4,12,7.5,7.5,,9,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。OHPの前部三角をIsolatedで足す。,
3,肥大蓄積,MRV週,水,OHP＋肩,4,プレートリアデルトフライ,,4,15,5,5,,9,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。,姿勢を保つ肩甲骨周り。
3,肥大蓄積,MRV週,水,OHP＋肩,5,プレートオーバーヘッドエクステンション,,3,12,15,15,,9,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
3,肥大蓄積,MRV週,木,スクワット＋後面＋胸,1,バックスクワット,○,3,5,132.5,132.5,75,8.5,3.5分,四頭,火曜デッドの疲労がある。無理に伸ばさない。,
3,肥大蓄積,MRV週,木,スクワット＋後面＋胸,2,ルーマニアンデッドリフト,,3,8,120,120,,9,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。,ヒップヒンジとタックル耐性。
3,肥大蓄積,MRV週,木,スクワット＋後面＋胸,3,スポトプレス,,5,8,85,85,,9,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,1,フロアプレス,,5,10,90,90,,9,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,9,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,4,15,10,10,,9,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,5,12,35,35,,9,45秒,二頭,BJJ用密度。休憩45秒。フォームが崩れない範囲で血流を乗せる。下ろし3秒。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,5,12,自重,75,,9,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
3,肥大蓄積,MRV週,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,6,12,130,130,,9,1分15秒,僧帽,MRV週はセット6。収縮1秒。首を前に出さない。金曜は中重量でパンプ。,
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,1,ベンチプレス,○,2,5,75,75,60,5,3.5分,胸,ディロード。楽に動かす。,
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,2,クローズグリップベンチ,,2,10,70,70,,6,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,3,懸垂（プロネイト）,,2,8,自重,75,,6,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,4,プレートサイドレイズ,,2,15,5,5,,6,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。,
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,5,バーベルシュラッグ,,2,12,115,115,,6,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。,襟を持つ姿勢の維持。
4,肥大蓄積,ディロード,月,ベンチ＋胸・肩,6,スカルクラッシャー,,2,12,35,35,,6,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。,エビ・ポストの肘伸ばし持久。
4,肥大蓄積,ディロード,火,デッド＋背中・僧帽,1,デッドリフト,○,2,3,105,105,60,5,4分,後面,通常引き。動きの確認だけ。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
4,肥大蓄積,ディロード,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,2,8,77.5,77.5,,6,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
4,肥大蓄積,ディロード,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,2,8,自重,75,,6,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
4,肥大蓄積,ディロード,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,2,12,42.5,42.5,,6,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
4,肥大蓄積,ディロード,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,2,15,107.5,107.5,,6,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。,
4,肥大蓄積,ディロード,水,OHP＋肩,1,オーバーヘッドプレス,○,2,5,47.5,47.5,60,5,3.5分,肩,ディロード。,
4,肥大蓄積,ディロード,水,OHP＋肩,2,プレートサイドレイズ,,2,15,5,5,,6,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。,
4,肥大蓄積,ディロード,水,OHP＋肩,3,プレートフロントレイズ,,2,12,5,5,,6,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。OHPの前部三角をIsolatedで足す。,
4,肥大蓄積,ディロード,水,OHP＋肩,4,プレートリアデルトフライ,,2,15,2.5,2.5,,6,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。,姿勢を保つ肩甲骨周り。
4,肥大蓄積,ディロード,水,OHP＋肩,5,プレートオーバーヘッドエクステンション,,2,12,12.5,12.5,,6,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
4,肥大蓄積,ディロード,木,スクワット＋後面＋胸,1,バックスクワット,○,2,5,105,105,60,5,3.5分,四頭,ディロード。,
4,肥大蓄積,ディロード,木,スクワット＋後面＋胸,2,ルーマニアンデッドリフト,,2,8,102.5,102.5,,6,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。,ヒップヒンジとタックル耐性。
4,肥大蓄積,ディロード,木,スクワット＋後面＋胸,3,スポトプレス,,2,8,72.5,72.5,,6,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,1,フロアプレス,,2,10,77.5,77.5,,6,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,2,AMRAP-1,自重,75,,6,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,2,15,5,5,,6,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,2,12,30,30,,6,45秒,二頭,BJJ用密度。休憩45秒。フォームが崩れない範囲で血流を乗せる。下ろし3秒。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,2,12,自重,75,,6,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
4,肥大蓄積,ディロード,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,2,12,110,110,,6,1分15秒,僧帽,MRV週はセット6。収縮1秒。首を前に出さない。金曜は中重量でパンプ。,
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,1,ベンチプレス,○,4,6,95,95,75,7.5,3.5分,胸,脚ドライブを使う。軌道は下胸。,
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,2,クローズグリップベンチ,,4,8,80,80,,8,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,3,懸垂（プロネイト）,,3,8,自重+2.5,77.5,,8,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,4,プレートサイドレイズ,,3,12-15,10,10,,8,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。,
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,5,バーベルシュラッグ,,4,10-12,132.5,132.5,,8,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。,襟を持つ姿勢の維持。
5,筋力×肥大,MAV超,月,ベンチ＋胸・肩,6,スカルクラッシャー,,3,10,37.5,37.5,,8,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。,エビ・ポストの肘伸ばし持久。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,1,デッドリフト,○,4,5,132.5,132.5,75,7.5,4分,後面,通常引き開始。床を足で押す。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,87.5,87.5,,8,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重+2.5,77.5,,8,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,10,47.5,47.5,,8,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,4,12,125,125,,8,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。,
5,筋力×肥大,MAV超,水,OHP＋肩,1,オーバーヘッドプレス,○,4,6,57.5,57.5,72.5,7.5,3.5分,肩,肘は体のやや前方。,
5,筋力×肥大,MAV超,水,OHP＋肩,2,プレートサイドレイズ,,3,15,10,10,,8,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。,
5,筋力×肥大,MAV超,水,OHP＋肩,3,プレートフロントレイズ,,3,12,7.5,7.5,,8,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。OHPの前部三角をIsolatedで足す。,
5,筋力×肥大,MAV超,水,OHP＋肩,4,プレートリアデルトフライ,,3,15,5,5,,8,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。,姿勢を保つ肩甲骨周り。
5,筋力×肥大,MAV超,水,OHP＋肩,5,プレートオーバーヘッドエクステンション,,3,12,12.5,12.5,,8,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
5,筋力×肥大,MAV超,木,スクワット＋後面＋胸,1,バックスクワット,○,3,5,132.5,132.5,75,7.5,3.5分,四頭,MEV付近を維持。,
5,筋力×肥大,MAV超,木,スクワット＋後面＋胸,2,ルーマニアンデッドリフト,,3,8,117.5,117.5,,8,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。,ヒップヒンジとタックル耐性。
5,筋力×肥大,MAV超,木,スクワット＋後面＋胸,3,スポトプレス,,3,8,82.5,82.5,,8,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
